title,price,currency,quantity,USD,EUR,GBP,JPY,AUD,CHF
LANCÔME Teint Idole Ultra Wear All Over Concealer Correcteur et Fond de...,23500,CFA,1,35.79661,35.83327,30.315235,4902.919445,51.425520000000006,34.51633
L’OREAL Infallible 24H Fresh Wear Waterproof Fond de Teint en Poudre...,4900,CFA,1,7.463974,7.471618,6.321049,1022.310863,10.722768,7.1970220000000005
MAYBELLINE Fit Me! Matte + Poreless Base Matifiante SPF20,4500,CFA,1,6.8546700000000005,6.86169,5.805045000000001,938.856915,9.84744,6.60951
REVOLUTION Pro Highlighting Potion Enlumineur,15000,CFA,1,22.8489,22.872300000000003,19.350150000000003,3129.52305,32.8248,22.0317
BARRY M COSMETICS Ready Set Smooth Poudre Libre Matifiante Fixatrice,10000,CFA,1,15.2326,15.2482,12.9001,2086.3487,21.883200000000002,14.687800000000001
CATRICE Blush Box Fard à Joues Matte Water + Sweatproof,7900,CFA,1,12.033754,12.046078000000001,10.191079,1648.215473,17.287728,11.603362
LA GIRL Shimmer Spray Fixant Illuminateur,6900,CFA,1,10.510494,10.521258000000001,8.901069,1439.580603,15.099408,10.134582
KIKO Charming Escape Silky Blush,8900,CFA,1,13.557014,13.570898000000001,11.481089,1856.850343,19.476048000000002,13.072142000000001
LA GIRL Moonlight Magic Fanatic Highlighting Palette,14000,CFA,1,21.32564,21.34748,18.06014,2920.88818,30.636480000000002,20.562920000000002
SLEEK Makeup Lifeproof Brume Fixatrice Lumineuse,5500,CFA,1,8.377930000000001,8.386510000000001,7.095055,1147.491785,12.03576,8.07829
NARS Mini Radiant Creamy Concealer Anti-cernes,9000,CFA,1,13.709340000000001,13.72338,11.610090000000001,1877.71383,19.69488,13.21902
DE’LANCI Palette Blush & Illuminateurs,4000,CFA,1,6.09304,6.09928,5.16004,834.53948,8.75328,5.87512
ESSENCE Instant Matt Spray Fixateur Fini Mat,7900,CFA,1,12.033754,12.046078000000001,10.191079,1648.215473,17.287728,11.603362
REVOLUTION Superdewy Liquid Highlighter,12000,CFA,1,18.27912,18.29784,15.480120000000001,2503.61844,26.25984,17.62536
CATRICE Blush Box Glowing + Multicolour,10500,CFA,1,15.99423,16.01061,13.545105000000001,2190.666135,22.97736,15.42219
L’OREAL Infallible 24H Full Wear Waterproof Matte Concealer,8000,CFA,1,12.18608,12.19856,10.32008,1669.07896,17.50656,11.75024
REVOLUTION Pro CC Perfecting Poudre Pressée Perfectrice,7000,CFA,1,10.66282,10.67374,9.03007,1460.44409,15.318240000000001,10.281460000000001
KARA Beauty Dazzling Lights Highlighter Compact,12500,CFA,1,19.04075,19.06025,16.125125,2607.935875,27.354000000000003,18.359750000000002
REVOLUTION Hot Shot Kombucha Glow Highlighter Palette,11000,CFA,1,16.755860000000002,16.773020000000002,14.19011,2294.98357,24.07152,16.15658
TOO FACED Born This Way Matte Fond de Teint Longue Tenue Indétectable,10000,CFA,1,15.2326,15.2482,12.9001,2086.3487,21.883200000000002,14.687800000000001
